,JobDescription,JobDetails_CompanyIndustry,JobDetails_CompanyType,JobDetails_EmploymentType,JobDetails_JobLocation,JobDetails_JobRole,JobDetails_MonthlySalaryRange,JobDetails_NumberofVacancies,PreferredCandidate_CareerLevel,PreferredCandidate_ResidenceLocation,Skills,meta_Company,meta_Date,meta_Location,meta_Title,meta_link
235,تخطيط النشاط البيعي ويشمل المشاركة في وضع الاهداف ورسم السياسات البيعية داخل الشركة كالسياسات الخاصة بالمنتجات والسياسات الخاصة بالأسعار والتوزيع والترويج والاتصال مع الاسواق المستهدفة.\nتنظيم الانشطة البيعية والتي تشمل تنظيم الجهود البيعية من خلال تطوير هيكل تنظيمي فعال.\nتنفيذ الانشطة البيعية التي تم تحديدها في الأنشطة البيعية.\nالاشراف على جهود رجال البيع وتوجيهها بشكل سليم.\nتنسيق الانشطة البيعية مع الادارات الاخرى كالتسويق والمشتريات والمخازن والانتاج والمالية.\nالرقابة والتقييم على الانشطة البيعية، وتشمل تحديد المناطق البيعية، تحديد مسارات رجال البيع، وتحديد حصص البيع وتلقي التقارير عن النشاط البيعي وتقويم النتائج التي توصل إليها واتخاذ الاجراءات التصحيحية المناسبة للنهوض بمستوى الأداء وتطويره.\nالمشاركة في اختيار وتوظيف رجال البيع من حيث تحليل العمل ووصفه، وتحديد المؤهلات المطلوبة ومصدرها.\nتحديد احتياجات رجال البيع من التدريب ونوع التدريب المطلوب لكل فرد.\nتحفيز رجال البيع من تحديد أساليب التحفيز المختلفة والبحث باستمرار عن المكافئات التي تحفز جهود البيع لدى رجال البيع من خلال بناء وتطوير نظام تعويض فعال.\nتقويم جهود رجال البيع من حيث تحديد نماذج التقويم الفعالة والموضوعية للوصول إلى حكم منطقي على أداء رجال البيع.\nرفع التقارير الدورية حول المبيعات إلى الإدارة العليا.\nالقدرة على التخطيط والتنظيم والمتابعة للعمليات البيعية ولطاقم البيع.\nالقدرة على قيادة وتحفيز طاقم البيع.\nالقدرة على إعداد التقارير الدورية والسنوية.\nمعرفة جيدة باللغة الانجليزية.\nمهارات شخصية عالية.\nقوة الشخصية.\nمهارات اتصال عالية.\nتحمل ضغط العمل.,Sales Outsourcing; Marketing; Recruitment & Employee Placement Agency,Employer (Private Sector),Full Time Employee,"Al Izdihar, Riyadh , Saudi Arabia",Sales,Unspecified,Unspecified,Mid Career,Saudi Arabia,القدرة على التخطيط والتنظيم والمتابعة للعمليات البيعية ولطاقم البيع.\nالقدرة على قيادة وتحفيز طاقم البيع.\nالقدرة على إعداد التقارير الدورية والسنوية.\nمعرفة جيدة باللغة الانجليزية.\nمهارات شخصية عالية.\nقوة الشخصية.\nمهارات اتصال عالية.\nتحمل ضغط العمل.,Alphaa,Date Posted: Dec 02,"Al Izdihar, Riyadh, Saudi Arabia",مدير مبيعات,/en/saudi-arabia/jobs/%D9%85%D9%86%D8%AF%D9%88%D8%A8-%D9%85%D8%A8%D9%8A%D8%B9%D8%A7%D8%AA-4456429/
236,إدارة جميع العمليات المحاسبية العامة\nإعداد تقارير الوضع المالي الحالي بالمؤسسة\nتحليل البيانات المالية وتقديم رؤى محاسبية من دراستها\nإدارة وتتبع جميع الحركات المالية وتحديث سجلات المشتريات والمبيعات\nالاحتفاظ بالنسخ الاحتياطية للسجلات المالية\nالحفاظ على سرية البيانات المالية\nادخال البيانات المحاسبية والملفات المالية الى انظمة الكمبيوتر\nأرشفة وتنظيم العمليات المالية وتنظيمها بطريقة سهلة\nيقوم أيضاً بإعداد إدخالات الأصول والمسؤولية ورأس المال من خلال تجميع وتحليل معلومات الحساب.وثائق المعاملات المالية عن طريق إدخال معلومات الحساب.\nيقوم بإعداد إدخالات الأصول ورأس المال من خلال تجميع وتحليل معلومات الحساب.\nيوثق المعاملات المالية عن طريق إدخال معلومات الحساب\nيحافظ على الضوابط المحاسبية من خلال التوصية بالسياسات والإجراءات\nتأمين المعلومات المالية من خلال استكمال النسخ الاحتياطي لقاعدة البيانات.\nتحليل وتقديم تقرير عن الوضع المالي بما في ذلك الفروق في بيان الدخل، وإبلاغ النتائج المالية للإدارة، وإعداد الميزانية وتحليلها\nالإشراف على الضرائب والالتزام باللوائح الاتحادية\nوضع وتنفيذ وتعديل وتوثيق نظم حفظ السجلات والمحاسبة، والاستفادة من تكنولوجيا الكمبيوتر الحالية.\nالتفاوض على شروط الصفقات التجارية والتحركات مع العملاء والمنظمات المرتبطة بها\nإسداء المشورة للإدارة بشأن قضايا مثل استخدام الموارد، والاستراتيجيات الضريبية، والافتراضات الكامنة وراء توقعات الميزانية.\nالحفاظ على سجلات الوكالات الحكومية ودراستها\nالإلتزام بالقوانين الإدارية وعدم التعديل فيها إلا باستشارة الإدارة,Printing,Unspecified,Full Time Employee,"Kharj Road, Industrial Area, Riyadh , Saudi Arabia",Accounting and Auditing,Unspecified,Unspecified,Mid Career,"Riyadh, Saudi Arabia",شهادة بكالرويوس فى المحاسبة\nخبرة سابقة من2– 4 سنوات كمحاسب\nالقدر على العمل على برامج محاسبية متقدمة\n-توفر سيارة\nجاهز للعمل فورا\nالجنسية مصري فقط,Confidential Company,Date Posted: Nov 28,"Industrial Area-Kharj Road, Riyadh, Saudi Arabia",محاسب كالي,/en/saudi-arabia/jobs/%D9%85%D8%AD%D8%A7%D8%B3%D8%A8-%D9%83%D8%A7%D9%84%D9%8A-4458531/
237,بيع وتسويق مستلزمات ومواد الأسنان في المراكز الصحية والمستشفيات والقطاع الطبي وتحصيل المبالغ ما بعد البيع وتقديم خدمة ما بعد البيع كمتابعة العميل والطلبات اليومية والاسبوعية.,Medical & Healthcare Equipment,Employer (Private Sector),Full Time Employee,"Dammam, Saudi Arabia","Medical, Healthcare, and Nursing",Unspecified,1,Mid Career,Saudi Arabia,النشاط والحيوية ، الصدق والامانة ، الرغبة بالتعلم والتطور ، تقبل النقد البناء ، الاريحية في التعامل مع فريق العمل.,FlashMed Co,Date Posted: Dec 02,"Dammam, Saudi Arabia",مندوب لوازم أسنان,/en/saudi-arabia/jobs/%D9%85%D9%86%D8%AF%D9%88%D8%A8-%D9%85%D8%A8%D9%8A%D8%B9%D8%A7%D8%AA-4456429/
238,مطلوب مساعد قانوني\nمقيم في المملكه\nللعمل في مكتب محاماه جديد\nيشترط من له خبره في المجال بالممملكه\nوقت العمل مرن,Administration Support Services; Legal Process Outsourcing (LPO),Employer (Private Sector),Part Time Employee,"Ash Shati, Jeddah , Saudi Arabia",Management,"$500 - $1,000",1,Management,Saudi Arabia,يتمتع بالمهارات اللازمه لإدارة المكتب,التركي لدعم الأعمال التجاريه,Date Posted: Nov 18,"Ash Shati, Jeddah , Saudi Arabia",مساعد قانوني,/en/saudi-arabia/jobs/%D9%85%D9%86%D8%AF%D9%88%D8%A8-%D9%85%D8%A8%D9%8A%D8%B9%D8%A7%D8%AA-4456429/
239,"مطلوب مديرة تسويق لشركة مستحضرات تجميل ومنتجات صيدلانية مقرها الرياض لديها الخبرة بمجال التسويق ووضع الخطط التسويقية وتنفيذها والخبرة بالتعامل مع السوشيال ميديا والموثرات والاعلانات الممولة\nA marketing director is required for a cosmetics and pharmaceutical products company based in Riyadh, with experience in the field of marketing, developing and implementing marketing plans, and experience in dealing with social media, influencers, and funded advertisements.",Pharmacies; Perfume & Cosmetics; Personal Care Centers,Employer (Private Sector),Full Time Employee,"Al Ma'athar, Riyadh , Saudi Arabia",Marketing and PR,"$3,000 - $4,000",1,Director/Head,"Riyadh, Saudi Arabia",خبرة بمجال التسويق\nمهارات تواصل جديدة\nالقدرة على القيادة وتطوير الاعمال,beauty line,Date Posted: Nov 29,"Al Ma'athar, Riyadh, Saudi Arabia",مديرة تسويق,/en/saudi-arabia/jobs/%D9%85%D8%AF%D9%8A%D8%B1%D8%A9-%D8%AA%D8%B3%D9%88%D9%8A%D9%82-4457973/
240,قياس درجة الحرارة والنبض وضغط الدم والتنفس\nتنظيم دخول المرضى إلى العيادة\nتقديم العلاج تبعاً لتعليمات الأطباء ويشمل :\nـ الحقن في الجلد ، تحت الجلد ، في العضل ، الحقن في الوريد ، التطعيمات المختلفة تحت إشراف الطبيب المسئول\nعلاج وتمريض حالات الحروق\nعمل الضمادات لحالات الإصابة بجميع أنواعها,Medical Clinic,Employer (Private Sector),Full Time Employee,"Ar Rawabi, Jeddah , Saudi Arabia","Medical, Healthcare, and Nursing",Unspecified,2,Fresh Graduate,,حسن المظهر و الخلق و التعامل مع المرضى,مجمع التسامح الطبي العام,Date Posted: Nov 29,"Ar Rawabi, Jeddah , Saudi Arabia",تمريض عام,/en/saudi-arabia/jobs/%D9%85%D9%86%D8%AF%D9%88%D8%A8-%D9%85%D8%A8%D9%8A%D8%B9%D8%A7%D8%AA-4456429/
241,إعداد قاعدة بيانات للمجالس واللجان الدولية ذات العلاقة\nتقييم أثر التعاون\nإعداد وتنفيذ الخطط لعضوية الصندوق في المنظمات الدولية\nتحديد فرص تطوير الشراكات القائمة .\nالعمل ضمن فريق بهدف عقد الشراكات الدولية والحفاظ عليها وتطويرها.\nالتواصل مع الشركاء,"Investment, Securities & Funds",Employer (Public Sector),Full Time Employee,"Al Olaya, Riyadh , Saudi Arabia",Administration,Unspecified,Unspecified,Entry Level,Saudi Arabia,إجادة اللغة الإنجليزية ويفضل اللغة الفرنسية ايضاً\nالالمام بآلية عمل المنظمات الدولية والإقليمية\nالمعرفة بإعداد الخطط والاستراتيجيات,Saudi Fund for Development,Date Posted: Dec 02,"Al Olaya, Riyadh, Saudi Arabia",العلاقات الخارجية والتعاون,/en/saudi-arabia/jobs/%D8%A7%D9%84%D8%B9%D9%84%D8%A7%D9%82%D8%A7%D8%AA-%D8%A7%D9%84%D8%AE%D8%A7%D8%B1%D8%AC%D9%8A%D8%A9-%D9%88%D8%A7%D9%84%D8%AA%D8%B9%D8%A7%D9%88%D9%86-4460323/
242,"يعلن مصنع شواهق طيبة للخرسانة الجاهزة\nفي المدينة المنورة , عن حاجته إلى\n \nمندوب مبيعات مواد بناء\n ",Public Administration,Employer (Private Sector),Contractor,"Medina, Saudi Arabia",Sales,"$500 - $1,000",4,Mid Career,"Medina, Saudi Arabia",•    شروط الوظيفة :\n1- يشترط خبرة في مجال مبيعات مواد البناء\n2- لديه خبرة كحد أدنى خمس سنوات\n3- العمر من 22 حتى 35 سنة\n4- القدرة على تحمل ضغط العمل والعمل لساعات طويلة\n5- حسن المظهر واللباقة والتعامل\n6- لديه رخصة قيادة سيارة,شواهق طيبة للخرسانة,Date Posted: Dec 03,"Medina, Saudi Arabia",مندوب مبيعات,/en/saudi-arabia/jobs/%D9%85%D9%86%D8%AF%D9%88%D8%A8-%D9%85%D8%A8%D9%8A%D8%B9%D8%A7%D8%AA-4456429/
243,مطلوب مسئولة مكتب استقدام بمنطقة جده لغة انجليزية جيده,Human Resources Outsourcing,Employer (Private Sector),Full Time Employee,"Jeddah , Saudi Arabia",Administration,Unspecified,Unspecified,Mid Career,"Jeddah , Saudi Arabia",التعامل الجيد\nاللغة الانجليزية,ترف الاعمال المنزلية,Date Posted: Nov 21,"Jeddah , Saudi Arabia",مسئولة مكتب استقدام,/en/saudi-arabia/jobs/%D9%85%D8%B3%D8%A6%D9%88%D9%84%D8%A9-%D9%85%D9%83%D8%AA%D8%A8-%D8%A7%D8%B3%D8%AA%D9%82%D8%AF%D8%A7%D9%85-4455819/
244,تصميم وإنشاء الكثير من المواد الخاصة بالطباعة والضمانات الرقمية.\nالعمل على إنهاء المشاريع بجودة عالية جدًا وفي ميعاد محدد مسبقًا.\nالعمل على الإبداع في الشركة والإرشادات الخاصة بالعلامة التجارية.\nالعمل على إدارة المشاريع وفق الأولويات ومواصفات التصميم المطلوبة والميزانية المحددة.\nمعالجة الصور من خلال الكثير من البرامج الخاصة بتصميم الرسومات.\nهادة البكالوريوس في فنون الجرافيك أو الاتصالات أو التصميم أو أي مجال له علاقة بالجرافيك.\nخبرة من 3 إلى 5 سنوات في تصميم الجرافيك.\nمعرفة كل ما يتعلق بالرسم والطباعة والويب.\nأن يكون ملمًا بالـ CSS وHTML وADOBE PHOTOSHOP وSKETCH وIIIustrator وinDesign بالإضافة إلى البرامج الأخرى الخاصة بتصميم الرسومات.\nأن يكون على دراية بالعمل على أوسع نطاق في المشاريع المتعلقة بالإبداع.\nلديه الكثير من المهارات القوية التي تعمل على التحليل والتدقيق.\nمهام مصمم الجرافيك\nيقوم مصمم الجرافيك بالعديد من الواجبات وسيتم التعرف على إجابة سؤال ماهي وظيفة مصمم الجرافيك\n14.  مقابلة العملاء والمدير الفني لكي يتعرف على المشروع والتصاميم التي سيقوم بتنفيذها.\n15.  استخدام الرسومات التوضيحية الرقمية والبرامج المختلفة الخاصة بتحرير الصور والتخطيط لعمل التصاميم المختلفة.\n16.  ابتكار شعارات وصور أصلية ورسومات توضيحية للعمل على توصيل رسالة معينة.\n17.  إنشاء التخطيطات الخاصة بالتصميم الذي سيقوم بعمله من اختيار الألوان والصور.\n18.  تعريف مديري الفن والعملاء بمعنى تصميم الجرافيك.\n19.  إضافة التغييرات الجديدة التي يريد مديرو الفن والعملاء وضعها في التصميمات النهائية.\n20.  القيام بمراجعة التصميمات لمعرفة الأخطاء قبل عملية الطباعة ونشرها.\n21.  اختيار نوع العناوين وخطها وحجمها ولونها وطول سطورها.\n22.  اتخاذ القرار في كيفية وضع النصوص والصور معًا على صفحة الويب أو في الطباعة من خلال المساحة المتوفرة لكل منهما.\n23.  يتعاون مصمم الجرافيك مع الكتّاب في اختيار الكلمات ومكان وضعها سواء كان ذلك في فقرات أو جداول أو قوائم.\n24.  تحويل البيانات إلى رسوم ورسم بياني مرئي لكي يسهل الوصول إلى الأفكار المعقدة، وذلك من خلال استخدام الصور المختلفة والألوان والنصوص.\n25.  يقوم مصمم الجرافيك بالتعرف على كل ما هو جديد في تقنيات برامج الجرافيك وأجهزة الكمبيوتر حتى يواكب التطورات ويكون قادرًا على المنافسة.,Retail & Wholesale,Employer (Private Sector),Full Time Employee,"Jeddah , Saudi Arabia","Design, Creative, and Arts",Unspecified,Unspecified,Mid Career,"Jeddah , Saudi Arabia",1.      تصميم وإنشاء الكثير من المواد الخاصة بالطباعة والضمانات الرقمية.\n2.      العمل على إنهاء المشاريع بجودة عالية جدًا وفي ميعاد محدد مسبقًا.\n3.      العمل على الإبداع في الشركة والإرشادات الخاصة بالعلامة التجارية.\n4.      العمل على إدارة المشاريع وفق الأولويات ومواصفات التصميم المطلوبة والميزانية المحددة.\n5.      معالجة الصور من خلال الكثير من البرامج الخاصة بتصميم الرسومات.\n6.      هادة البكالوريوس في فنون الجرافيك أو الاتصالات أو التصميم أو أي مجال له علاقة بالجرافيك.\n7.      خبرة من 3 إلى 5 سنوات في تصميم الجرافيك.\n8.      معرفة كل ما يتعلق بالرسم والطباعة والويب.\n9.      أن يكون ملمًا بالـ CSS وHTML وADOBE PHOTOSHOP وSKETCH وIIIustrator وinDesign بالإضافة إلى البرامج الأخرى الخاصة بتصميم الرسومات.\n10.  أن يكون على دراية بالعمل على أوسع نطاق في المشاريع المتعلقة بالإبداع.\n11.  لديه الكثير من المهارات القوية التي تعمل على التحليل والتدقيق.,Al-Guthmi,Date Posted: Nov 22,"Jeddah , Saudi Arabia",مصمم جرافيك,/en/saudi-arabia/jobs/%D9%85%D9%86%D8%AF%D9%88%D8%A8-%D9%85%D8%A8%D9%8A%D8%B9%D8%A7%D8%AA-4456429/
245,للسعوديين فقط\nمؤهل جامعي أو دبلوم بعد الثانوية ، خبرة بالمبيعات لعدة سنوات .\nوقت الدوام : فترتين – إجازة يومين بالأسبوع .\nالراتب مع بدل السكن 7500 ريال شهريا.\nعمولة مبيعات قد تصل الى 10000 ريال أو أكثر شهريا (حسب الجهد و المقدرة).\nالمطلوب.. صورة شخصية حديثة وصورة من الشهادات الجامعية أو الدبلوم وشهادة الخبرة.,Construction & Building,Employer (Private Sector),Unspecified,"Dammam, Saudi Arabia",Sales,Unspecified,Unspecified,Entry Level,Saudi Arabia,.,نجم اباحسين للأدوات الصحية,Date Posted: Dec 04,"Dammam, Saudi Arabia",اختصاصي مبيعات,/en/saudi-arabia/jobs/%D8%A7%D8%AE%D8%AA%D8%B5%D8%A7%D8%B5%D9%8A-%D9%85%D8%A8%D9%8A%D8%B9%D8%A7%D8%AA-4435566/
246,خبره في تنسيق الورود,Retail & Wholesale,Employer (Private Sector),Full Time Employee,"Khobar, Saudi Arabia","Design, Creative, and Arts","$1,000 - $1,500",1,Mid Career,"Khobar, Saudi Arabia",فن التعامل مع الزبائن مهما كانت الظروف وإحترام الوقت,مؤسسة دانه للزهور,Date Posted: Dec 03,"Khobar, Saudi Arabia",منسقة ورود,/en/saudi-arabia/jobs/%D9%85%D9%86%D8%AF%D9%88%D8%A8-%D9%85%D8%A8%D9%8A%D8%B9%D8%A7%D8%AA-4456429/
247,استاذ مساعد /مشارك /استاذ في تخصص هندسة السلامة أو هندسة الوقاية من الحريق.,Higher Education,Employer (Private Sector),Unspecified,"Buraidah, Saudi Arabia",Teaching and Academics,Unspecified,Unspecified,Mid Career,,خبرة جامعية سنتين تدريس بعد الدكتوراة على الأقل. ويفضل من له خبرة عملية في مجال السلامة والوقاية من اخطار الحريق.,كليات بريدة الأهلية,Date Posted: Dec 03,"Buraidah, Saudi Arabia",استاذ مساعد/مشارك/استاذ,/en/saudi-arabia/jobs/%D8%A7%D8%B3%D8%AA%D8%A7%D8%B0-%D9%85%D8%B3%D8%A7%D8%B9%D8%AF-%D9%85%D8%B4%D8%A7%D8%B1%D9%83-%D8%A7%D8%B3%D8%AA%D8%A7%D8%B0-4460283/
248,تسجيل وتحديث بيانات العميل والتأكد من صحتها لتسهيل عملية المتابعة\nالاتصال بالعملاء المتأخرين لمتابعة سدادتهم\nعمل الإجراءات الخاصة بالسدادات المتعثرة لحث العميل على السداد\nعمل الخدمات الإدارية للعملاء لتسهيل مهامهم واحتياجاتهم\nفترات العمل / الفترة الاولى 08:00 صباحا الى 12:30 مساء\n                    الفترة الثانية 04:00 الى 08:00 مساء \n ,Financial Services,Employer (Private Sector),Unspecified,"Riyadh, Saudi Arabia",Customer Service and Call Center,Unspecified,Unspecified,,,تحمل المسئولية\nالتعامل مع الضيوف\nالمعرفة بالشركة\nالالتزام,Abdul Latif Jameel United Finance Co. (ALJUF),Date Posted: Mar 01,"Riyadh, Saudi Arabia",مسئول حسابات عملاء- سيدات- الرياض,/en/saudi-arabia/jobs/%D9%85%D9%86%D8%AF%D9%88%D8%A8-%D9%85%D8%A8%D9%8A%D8%B9%D8%A7%D8%AA-4456429/
249,تنسيق العمل داخل المطعم في الجزء الخارجي و الداخلي للمطعم بشكل يومي.\nالإشراف على تقديم خدمة مميزة وزيادة رضا العملاء\nالتعامل بدقة مع شكاوى العملاء وتقديم الحلول المناسبة.\nالمراجعة المنتظمة لجودة الإنتاج وتحسين حجم المبيعات.\nالإشراف على مواعيد الموظفين وجدولة فترات الراحة والإجازات.\nتقييم أداء الموظفين وتقديم الملاحظات لتحسين الانتاجية.\nمتابعة الاحتياجات من الأدوات والمنتجات الخاصة بعمليات التشغيل والإبلاغ عن الطلبات بشكل دوري.\nالإشراف على تطبيق قواعد الصحة والسلامة والإجراءات الوقائية.\nتحسين الصورة الذهنية لدى العملاء وتقديم الاقتراحات لتطوير الخدمات واكتساب ولاء العملاء.\nادارة الميزانيات التشغيلية وتحديد إجراءات تساعد على تخفيض المصروفات.\nإنشاء تقارير مفصلة بشكل دوري عن الإيرادات والمصروفات.\nالإشراف على عمليات الترويج للمطعم وتحضير المناسبات المختلفة.\nتقديم اقتراحات لطرق التسويق المختلفة مثل عروض الخصومات والاعلانات على شبكات التواصل الاجتماعي.\nتدريب الموظفين الجدد والحاليين على تحسين خدمة العملاء.\nتنفيذ الخطط والسياسات التي تحافظ على سمعة المطعم وتزيد من ولاء العملاء.,"Catering, Food Service, & Restaurant",Employer (Private Sector),Contractor,"Shifa, Al, Riyadh , Saudi Arabia",Management,"$1,500 - $2,000",2,Management,"Riyadh, Saudi Arabia",لمعرفة الجيدة بمجال خدمات الأغذية والمشروبات\nالقدرة على عرض الأطباق المختلفة وشرح المكونات للعملاء.\nاجادة مهارات التواصل بشكل ممتاز مع فريق العمل ومع العملاء.\nالقدرة على الادارة المالية بشكل ممتاز وتحديد الميزانيات التشغيلية.\nاجادة مهارات ادارة فريق العمل وتحفيز الموظفين.\nمعرفة جيدة بمهارات التفاوض وتقديم الحلول للمشكلات المختلفة.\n ,شركة الراجحي للبناء والتعمير,Date Posted: Nov 25,"Al-Shifa, Riyadh, Saudi Arabia",مدير مطعم,/en/saudi-arabia/jobs/%D9%85%D8%AF%D9%8A%D8%B1-%D9%85%D8%B7%D8%B9%D9%85-4456775/
250,بيع وتوصيل وتوزيع و ترويج منتجات الشركة وتحقيق أهداف المبيعات.\nالمهام الوظيفية :\n1. ترويج منتجات الشركة الي العملاء الحاليين و جذب عملاء جدد.\n2. معرفة كافة المعلومات المتعلقة بالمنتجات و تقديم شرح واف عنها للعملاء .\n3. الحصول علي طلبات الشراء من العملاء .\n4. التأكد من رضا الزبائن عن المنتجات و الخدمات المقدمة.\n5. التواصل الدائم مع العملاء و التعامل الجيد و تقديم المنتج بأفضل الطرق .\n6. تغطية كافة العملاء علي امتداد المنطقة الجغرافية التي يعمل بها المندوب.\n7. تحصيل مستحقات الشركة و متابعة الديون عند العملاء دون تأخير.,Oil & Gas; FMCG,Unspecified,Full Time Employee,"Riyadh, Saudi Arabia",Sales,Unspecified,Unspecified,Entry Level,Saudi Arabia,المؤهل العلمي : ثانوية او مؤهل جامعي .\nالخبرات العملية : يفضل خبرة سابقة في مجال المبيعات .\nالقدرات و المهارات المهنية :\n1. قدرة عالية علي التواصل مع العملاء .\n2. اللباقة في الحديث .\n3. القدرة علي الاقناع .\n4. القدرة علي العمل تحت ضغط.,Confidential Company,Date Posted: Nov 23,"Riyadh, Saudi Arabia",مندوب مبيعات,/en/saudi-arabia/jobs/%D9%85%D9%86%D8%AF%D9%88%D8%A8-%D9%85%D8%A8%D9%8A%D8%B9%D8%A7%D8%AA-4456429/
251,مندوبين مبيعات لديهم خبره كافية في مجال الالمنيوم الزجاج والستيل\nراتب + عمولات حسب المبيعات\nمكان العمل الدمام + الرياض,Industrial Production,Employer (Private Sector),Full Time Employee,"Dammam, Saudi Arabia",Sales,"$1,500 - $2,000",5,Management,"Dammam, Saudi Arabia ; Khobar, Saudi Arabia ; Riyadh, Saudi Arabia",1.    دراسة الأسواق الخارجية والعملاء المستهدفين وفرزها.\n2.    إعداد الردود بالنسبة للطلبيات وعرضها على رئيسه لاعتمادها.\n3.    التنسيق مع مندوبي التسويق في متابعة التحصيل من العميل عند دنو موعد استحقاقات الدفع.\n4.    استلام طلبات العملاء لشراء منتجات المنشأة والتأكد من استيفاء العملاء لكل بنود العقود.\n5.    إعداد قوائم توضح حركة البيع والتنسيق مع الإدارة المالية لتسجيل المبيعات بشكل شهري وإيداع المتحصلات النقدية بشكل يومي.\n6. إصدار الفواتير وسندات الاستلام للعملاء.\n7. الاحتفاظ بصورة من الفاتورة في ملف العميل.\n8. المتابعة اليومية لنشاطات العملاء والأسواق الخاصة بالمنطقة المكلف بها والعمل على زيادة ثقة العملاء في منتجات المنشأة.,Omran Arabia industrial Company,Date Posted: Nov 27,"Dammam, Saudi Arabia",مندوب مبيعات,/en/saudi-arabia/jobs/%D9%85%D9%86%D8%AF%D9%88%D8%A8-%D9%85%D8%A8%D9%8A%D8%B9%D8%A7%D8%AA-4386380/
252,مندوب مشتريات لشركة داخل الرياض خبرة في نفس المجال وعلي دراية تامة بأعمال الكمبيوتر ( ورد وأكسيل ) وعلي معرفة بمناطق الرياض,Water & Waste Water Treatment,Employer (Private Sector),Full Time Employee,"Al Murabba, Riyadh , Saudi Arabia",Purchasing and Procurement,Unspecified,1,Mid Career,"Riyadh, Saudi Arabia",رخصة سياقة,شركة أعمال المعالجة للمياة,Date Posted: Nov 09,"Al Murabba, Riyadh, Saudi Arabia",مندوب مشتريات,/en/saudi-arabia/jobs/%D9%85%D9%86%D8%AF%D9%88%D8%A8-%D9%85%D8%A8%D9%8A%D8%B9%D8%A7%D8%AA-4456429/
